"Gene.stable.ID","GO.description","GO.term.accession","ontology","GO.term"
"AT5G58600","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G59260","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G59270","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G59890","innate immune response-activating signal transduction","GO:0002758","P","response to biotic stimulus"
"AT5G60120","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT5G60270","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G60280","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G60300","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G60310","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G60320","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G60410","negative regulation of systemic acquired resistance","GO:0010113","P","response to biotic stimulus"
"AT5G60550","response to virus","GO:0009615","P","response to biotic stimulus"
"AT5G60600","systemic acquired resistance, salicylic acid mediated signaling pathway","GO:0009862","P","response to biotic stimulus"
"AT5G60890","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT5G60950","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT5G61210","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT5G61410","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G61420","response to insect","GO:0009625","P","response to biotic stimulus"
"AT5G61600","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G61890","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G61900","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT5G62380","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G62570","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT5G62900","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G63840","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G63970","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G64120","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G64250","response to symbiotic fungus","GO:0009610","P","response to biotic stimulus"
"AT5G64290","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G64440","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G64570","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT5G64750","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G64810","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G64840","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G64890","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT5G64900","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G64905","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G64930","jasmonic acid and ethylene-dependent systemic resistance, jasmonic acid mediated signaling pathway","GO:0009868","P","response to biotic stimulus"
"AT5G64960","response to virus","GO:0009615","P","response to biotic stimulus"
"AT5G65040","response to insect","GO:0009625","P","response to biotic stimulus"
"AT5G65210","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G65530","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G65600","PAMP-triggered immunity signalling pathway","GO:0140426","P","response to biotic stimulus"
"AT5G65710","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT5G66190","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G66210","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT5G66570","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G66850","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT5G67160","regulation of defense response to bacterium","GO:1900424","P","response to biotic stimulus"
"AT5G67300","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G67330","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G67385","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G67500","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G67620","response to fungus","GO:0009620","P","response to biotic stimulus"
"ATCG00120","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
